full_text,cleasing,Tokenization and Case Folfing,Filtering/stopword removal,stemming data
"Kritikan  komedian tentang debat capres, sindir pedas  Paslon 02 - 03. https://t.co/Eh1VBFzyeN",Kritikan  komedian tentang debat capres sindir pedas  Paslon    ,"['kritikan', 'komedian', 'tentang', 'debat', 'capres', 'sindir', 'pedas', 'paslon']","['kritikan', 'komedian', 'debat', 'capres', 'sindir', 'pedas', 'paslon']",kritik komedian debat capres sindir pedas paslon
@sseemsms @zenrs Berarti dia debat sbg menhan bkn debat capres,sseemsms zenrs Berarti dia debat sbg menhan bkn debat capres,"['sseemsms', 'zenrs', 'berarti', 'dia', 'debat', 'sbg', 'menhan', 'bkn', 'debat', 'capres']","['sseemsms', 'zenrs', 'debat', 'sbg', 'menhan', 'bkn', 'debat', 'capres']",sseemsms zenrs debat sbg menhan bkn debat capres
"@marzukialie_MA Jadi buat apa dibuat judulnya DEBAT CAPRES "" ? kalau cuma mau saling puja puji, mending suruh dtg ke acara reunian aja. Kalau kalah mah kalah aja.... gak usah muter2 kayak gasing.""",marzukialieMA Jadi buat apa dibuat judulnya DEBAT CAPRES   kalau cuma mau saling puja puji mending suruh dtg ke acara reunian aja Kalau kalah mah kalah aja gak usah muter kayak gasing,"['marzukialiema', 'jadi', 'buat', 'apa', 'dibuat', 'judulnya', 'debat', 'capres', 'kalau', 'cuma', 'mau', 'saling', 'puja', 'puji', 'mending', 'suruh', 'dtg', 'ke', 'acara', 'reunian', 'aja', 'kalau', 'kalah', 'mah', 'kalah', 'aja', 'gak', 'usah', 'muter', 'kayak', 'gasing']","['marzukialiema', 'judulnya', 'debat', 'capres', 'puja', 'puji', 'mending', 'suruh', 'dtg', 'acara', 'reunian', 'aja', 'kalah', 'mah', 'kalah', 'aja', 'gak', 'muter', 'kayak', 'gasing']",marzukialiema judul debat capres puja puji mending suruh dtg acara reuni aja kalah mah kalah aja gak muter kayak gasing
@Heraloebss Power of hepeng murah harga otak. Pak timbul jdi capres bukan menhan di debat hera paok,Heraloebss Power of hepeng murah harga otak Pak timbul jdi capres bukan menhan di debat hera paok,"['heraloebss', 'power', 'of', 'hepeng', 'murah', 'harga', 'otak', 'pak', 'timbul', 'jdi', 'capres', 'bukan', 'menhan', 'di', 'debat', 'hera', 'paok']","['heraloebss', 'power', 'of', 'hepeng', 'murah', 'harga', 'otak', 'timbul', 'jdi', 'capres', 'menhan', 'debat', 'hera', 'paok']",heraloebss power of hepeng murah harga otak timbul jdi capres menhan debat hera paok
@99propaganda Amat sangat membuka fakta kl capres&amp cawapresnya kalah debat,propaganda Amat sangat membuka fakta kl capresamp cawapresnya kalah debat,"['propaganda', 'amat', 'sangat', 'membuka', 'fakta', 'kl', 'capresamp', 'cawapresnya', 'kalah', 'debat']","['propaganda', 'membuka', 'fakta', 'kl', 'capresamp', 'cawapresnya', 'kalah', 'debat']",propaganda buka fakta kl capresamp cawapresnya kalah debat
"Miftah ini masuk Tim Sukses Paslon 02 krn hadir saat debat Capres yll, seharusnya diusut oleh @bawaslu_RI terkait amplop yg dikembalikan itu, lumayan tebal itu, apa isinya itu?",Miftah ini masuk Tim Sukses Paslon  krn hadir saat debat Capres yll seharusnya diusut oleh bawasluRI terkait amplop yg dikembalikan itu lumayan tebal itu apa isinya itu,"['miftah', 'ini', 'masuk', 'tim', 'sukses', 'paslon', 'krn', 'hadir', 'saat', 'debat', 'capres', 'yll', 'seharusnya', 'diusut', 'oleh', 'bawasluri', 'terkait', 'amplop', 'yg', 'dikembalikan', 'itu', 'lumayan', 'tebal', 'itu', 'apa', 'isinya', 'itu']","['miftah', 'masuk', 'tim', 'sukses', 'paslon', 'krn', 'hadir', 'debat', 'capres', 'yll', 'diusut', 'bawasluri', 'terkait', 'amplop', 'yg', 'dikembalikan', 'lumayan', 'tebal', 'isinya']",miftah masuk tim sukses paslon krn hadir debat capres yll usut bawasluri kait amplop yg kembali lumayan tebal isi
"@zuhri1915837 @alextham878 @uniemara @aniesbaswedan Mata loe ga liat? Saat debat Mereka berdua saling tagih janji 🤣 Loe bilang wajar Anies jd Presiden RI?  Kapan jd Presiden nya? Kan baru nyapres 🤣 Itu aja capres lucuan 🤣 Bangsanya bukan kok mau mimpin kami Pribumi, ga tau diri ini sih 🤣🤣🤣 Guoblok🤣🤣🤣""",zuhri alextham uniemara aniesbaswedan Mata loe ga liat Saat debat Mereka berdua saling tagih janji 🤣 Loe bilang wajar Anies jd Presiden RI  Kapan jd Presiden nya Kan baru nyapres 🤣 Itu aja capres lucuan 🤣 Bangsanya bukan kok mau mimpin kami Pribumi ga tau diri ini sih 🤣🤣🤣 Guoblok🤣🤣🤣,"['zuhri', 'alextham', 'uniemara', 'aniesbaswedan', 'mata', 'loe', 'ga', 'liat', 'saat', 'debat', 'mereka', 'berdua', 'saling', 'tagih', 'janji', '🤣', 'loe', 'bilang', 'wajar', 'anies', 'jd', 'presiden', 'ri', 'kapan', 'jd', 'presiden', 'nya', 'kan', 'baru', 'nyapres', '🤣', 'itu', 'aja', 'capres', 'lucuan', '🤣', 'bangsanya', 'bukan', 'kok', 'mau', 'mimpin', 'kami', 'pribumi', 'ga', 'tau', 'diri', 'ini', 'sih', '🤣🤣🤣', 'guoblok🤣🤣🤣']","['zuhri', 'alextham', 'uniemara', 'aniesbaswedan', 'mata', 'loe', 'ga', 'liat', 'debat', 'berdua', 'tagih', 'janji', '🤣', 'loe', 'bilang', 'wajar', 'anies', 'jd', 'presiden', 'ri', 'jd', 'presiden', 'nya', 'nyapres', '🤣', 'aja', 'capres', 'lucuan', '🤣', 'bangsanya', 'mimpin', 'pribumi', 'ga', 'tau', 'sih', '🤣🤣🤣', 'guoblok🤣🤣🤣']",zuhri alextham uniemara aniesbaswedan mata loe ga liat debat dua tagih janji  loe bilang wajar anies jd presiden ri jd presiden nya nyapres  aja capres lucu  bangsa mimpin pribumi ga tau sih  guoblok
@Puspen_TNI Yang debat kemarin itu menhan atau capres min.. Nanya aja.. Nggak di jawab juga nggak pa2 kok.. Terserah kalian lah..,PuspenTNI Yang debat kemarin itu menhan atau capres min Nanya aja Nggak di jawab juga nggak pa kok Terserah kalian lah,"['puspentni', 'yang', 'debat', 'kemarin', 'itu', 'menhan', 'atau', 'capres', 'min', 'nanya', 'aja', 'nggak', 'di', 'jawab', 'juga', 'nggak', 'pa', 'kok', 'terserah', 'kalian', 'lah']","['puspentni', 'debat', 'kemarin', 'menhan', 'capres', 'min', 'nanya', 'aja', 'nggak', 'nggak', 'pa', 'terserah']",puspentni debat kemarin menhan capres min nanya aja nggak nggak pa serah
@kurawa Kenapa gk sekalian survei debat capres terlucu jg ya 🤔,kurawa Kenapa gk sekalian survei debat capres terlucu jg ya 🤔,"['kurawa', 'kenapa', 'gk', 'sekalian', 'survei', 'debat', 'capres', 'terlucu', 'jg', 'ya', '🤔']","['kurawa', 'gk', 'survei', 'debat', 'capres', 'terlucu', 'jg', 'ya', '🤔']",rawa gk survei debat capres lucu jg ya 
"@VIVAcoid Lebih hemat lagi ga pake pemilu, ga pake acara debat capres cawapres juga, lsg dilantik toh lembaga survey pd bilang elektabilitas 02 moncer dan paling atas terus, ngapain 1 putaran pemilu?",VIVAcoid Lebih hemat lagi ga pake pemilu ga pake acara debat capres cawapres juga lsg dilantik toh lembaga survey pd bilang elektabilitas  moncer dan paling atas terus ngapain  putaran pemilu,"['vivacoid', 'lebih', 'hemat', 'lagi', 'ga', 'pake', 'pemilu', 'ga', 'pake', 'acara', 'debat', 'capres', 'cawapres', 'juga', 'lsg', 'dilantik', 'toh', 'lembaga', 'survey', 'pd', 'bilang', 'elektabilitas', 'moncer', 'dan', 'paling', 'atas', 'terus', 'ngapain', 'putaran', 'pemilu']","['vivacoid', 'hemat', 'ga', 'pake', 'pemilu', 'ga', 'pake', 'acara', 'debat', 'capres', 'cawapres', 'lsg', 'dilantik', 'lembaga', 'survey', 'pd', 'bilang', 'elektabilitas', 'moncer', 'ngapain', 'putaran', 'pemilu']",vivacoid hemat ga pake milu ga pake acara debat capres cawapres lsg lantik lembaga survey pd bilang elektabilitas moncer ngapain putar milu
@Forlornant @flushedheart @lettredelavie kenapa pada DEBAT CAPRES.,Forlornant flushedheart lettredelavie kenapa pada DEBAT CAPRES,"['forlornant', 'flushedheart', 'lettredelavie', 'kenapa', 'pada', 'debat', 'capres']","['forlornant', 'flushedheart', 'lettredelavie', 'debat', 'capres']",forlornant flushedheart lettredelavie debat capres
"Aku nonton night has come sama adek-adekku udah kaya debat capres cawapres.. ngomooongg terus perihal teori. Sebentar diem nyimak, terus ngomong lagi sambil saut-sautan, berisik banget jinjja.",Aku nonton night has come sama adekadekku udah kaya debat capres cawapres ngomooongg terus perihal teori Sebentar diem nyimak terus ngomong lagi sambil sautsautan berisik banget jinjja,"['aku', 'nonton', 'night', 'has', 'come', 'sama', 'adekadekku', 'udah', 'kaya', 'debat', 'capres', 'cawapres', 'ngomooongg', 'terus', 'perihal', 'teori', 'sebentar', 'diem', 'nyimak', 'terus', 'ngomong', 'lagi', 'sambil', 'sautsautan', 'berisik', 'banget', 'jinjja']","['nonton', 'night', 'has', 'come', 'adekadekku', 'udah', 'kaya', 'debat', 'capres', 'cawapres', 'ngomooongg', 'perihal', 'teori', 'sebentar', 'diem', 'nyimak', 'ngomong', 'sautsautan', 'berisik', 'banget', 'jinjja']",nonton night has come adekadekku udah kaya debat capres cawapres ngomooongg perihal teori sebentar diem nyimak ngomong sautsautan berisik banget jinjja
"@ronanzu njinc, bayangin debat ke dua nnti capres ke 2 dipanggil wowo😭🙏🏻",ronanzu njinc bayangin debat ke dua nnti capres ke  dipanggil wowo,"['ronanzu', 'njinc', 'bayangin', 'debat', 'ke', 'dua', 'nnti', 'capres', 'ke', 'dipanggil', 'wowo']","['ronanzu', 'njinc', 'bayangin', 'debat', 'nnti', 'capres', 'dipanggil', 'wowo']",ronanzu njinc bayangin debat nnti capres panggil wowo
